!SIL	SIL
<SPOKEN_NOISE>	SPN
삼성병원	f9 m0 e15 f9 m4 e20 f7 m6 e20 f11 m14 e3
삼성병원입니다	f9 m0 e15 f9 m4 e20 f7 m6 e20 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼성식당이거든	f9 m0 e15 f9 m4 e20 f9 m20 e0 f3 m0 e20 f11 m20 f0 m4 f3 m18 e3
삼성역이에요	f9 m0 e15 f9 m4 e20 f11 m6 e0 f11 m20 f11 m5 f11 m12
삼성역입니다	f9 m0 e15 f9 m4 e20 f11 m6 e0 f11 m20 e16 f2 m20 f3 m0
삼성의	f9 m0 e15 f9 m4 e20 f11 m19
삼성이	f9 m0 e15 f9 m4 e20 f11 m20
삼성입니다	f9 m0 e15 f9 m4 e20 f11 m20 e16 f2 m20 f3 m0
삼성전기입니다	f9 m0 e15 f9 m4 e20 f12 m4 e3 f0 m20 f11 m20 e16 f2 m20 f3 m0
삼성전자	f9 m0 e15 f9 m4 e20 f12 m4 e3 f12 m0
삼성전자는	f9 m0 e15 f9 m4 e20 f12 m4 e3 f12 m0 f2 m18 e3
삼성전자에요	f9 m0 e15 f9 m4 e20 f12 m4 e3 f12 m0 f11 m5 f11 m12
삼성전자입니다	f9 m0 e15 f9 m4 e20 f12 m4 e3 f12 m0 f11 m20 e16 f2 m20 f3 m0
삼성중공업이에요	f9 m0 e15 f9 m4 e20 f12 m13 e20 f0 m8 e20 f11 m4 e16 f11 m20 f11 m5 f11 m12
삼성카드	f9 m0 e15 f9 m4 e20 f15 m0 f3 m18
삼성카드나	f9 m0 e15 f9 m4 e20 f15 m0 f3 m18 f2 m0
삼성카드에	f9 m0 e15 f9 m4 e20 f15 m0 f3 m18 f11 m5
삼성카드에요	f9 m0 e15 f9 m4 e20 f15 m0 f3 m18 f11 m5 f11 m12
삼성텔레콤	f9 m0 e15 f9 m4 e20 f16 m5 e7 f5 m5 f15 m8 e15
삼성표	f9 m0 e15 f9 m4 e20 f17 m12
삼성하우젠컵	f9 m0 e15 f9 m4 e20 f18 m0 f11 m13 f12 m5 e3 f15 m4 e16
삼센치미터정도	f9 m0 e15 f9 m5 e3 f14 m20 f6 m20 f16 m4 f12 m4 e20 f3 m8
삼센티미터	f9 m0 e15 f9 m5 e3 f16 m20 f6 m20 f16 m4
삼센티미터로	f9 m0 e15 f9 m5 e3 f16 m20 f6 m20 f16 m4 f5 m8
삼센티미터에요	f9 m0 e15 f9 m5 e3 f16 m20 f6 m20 f16 m4 f11 m5 f11 m12
삼센티미터입니다	f9 m0 e15 f9 m5 e3 f16 m20 f6 m20 f16 m4 f11 m20 e16 f2 m20 f3 m0
삼시	f9 m0 e15 f9 m20
삼시분으로	f9 m0 e15 f9 m20 f7 m13 e3 f11 m18 f5 m8
삼실점입니다	f9 m0 e15 f9 m20 e7 f12 m4 e15 f11 m20 e16 f2 m20 f3 m0
삼십	f9 m0 e15 f9 m20 e16
삼십가구	f9 m0 e15 f9 m20 e16 f0 m0 f0 m13
삼십가구가	f9 m0 e15 f9 m20 e16 f0 m0 f0 m13 f0 m0
삼십개	f9 m0 e15 f9 m20 e16 f0 m1
삼십개가	f9 m0 e15 f9 m20 e16 f0 m1 f0 m0
삼십개의	f9 m0 e15 f9 m20 e16 f0 m1 f11 m19
삼십개입니다	f9 m0 e15 f9 m20 e16 f0 m1 f11 m20 e16 f2 m20 f3 m0
삼십건있어요	f9 m0 e15 f9 m20 e16 f0 m4 e3 f11 m20 e19 f11 m4 f11 m12
삼십년이에요	f9 m0 e15 f9 m20 e16 f2 m6 e3 f11 m20 f11 m5 f11 m12
삼십년입니다	f9 m0 e15 f9 m20 e16 f2 m6 e3 f11 m20 e16 f2 m20 f3 m0
삼십대	f9 m0 e15 f9 m20 e16 f3 m1
삼십도	f9 m0 e15 f9 m20 e16 f3 m8
삼십도가	f9 m0 e15 f9 m20 e16 f3 m8 f0 m0
삼십도까지	f9 m0 e15 f9 m20 e16 f3 m8 f1 m0 f12 m20
삼십도로	f9 m0 e15 f9 m20 e16 f3 m8 f5 m8
삼십도면	f9 m0 e15 f9 m20 e16 f3 m8 f6 m6 e3
삼십도에	f9 m0 e15 f9 m20 e16 f3 m8 f11 m5
삼십도에요	f9 m0 e15 f9 m20 e16 f3 m8 f11 m5 f11 m12
삼십도였으면	f9 m0 e15 f9 m20 e16 f3 m8 f11 m6 e19 f11 m18 f6 m6 e3
삼십도의	f9 m0 e15 f9 m20 e16 f3 m8 f11 m19
삼십도입니다	f9 m0 e15 f9 m20 e16 f3 m8 f11 m20 e16 f2 m20 f3 m0
삼십도쯤으로	f9 m0 e15 f9 m20 e16 f3 m8 f13 m18 e15 f11 m18 f5 m8
삼십만원	f9 m0 e15 f9 m20 e16 f6 m0 e3 f11 m14 e3
삼십만원선입니다	f9 m0 e15 f9 m20 e16 f6 m0 e3 f11 m14 e3 f9 m4 e3 f11 m20 e16 f2 m20 f3 m0
삼십만원에	f9 m0 e15 f9 m20 e16 f6 m0 e3 f11 m14 e3 f11 m5
삼십만원이고	f9 m0 e15 f9 m20 e16 f6 m0 e3 f11 m14 e3 f11 m20 f0 m8
삼십만원이에요	f9 m0 e15 f9 m20 e16 f6 m0 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼십만원입니다	f9 m0 e15 f9 m20 e16 f6 m0 e3 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼십만주	f9 m0 e15 f9 m20 e16 f6 m0 e3 f12 m13
삼십메가	f9 m0 e15 f9 m20 e16 f6 m5 f0 m0
삼십메가바이트입니다	f9 m0 e15 f9 m20 e16 f6 m5 f0 m0 f7 m0 f11 m20 f16 m18 f11 m20 e16 f2 m20 f3 m0
삼십미리미터가	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f0 m0
삼십미리미터가량	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f0 m0 f5 m2 e20
삼십미리미터가량이	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f0 m0 f5 m2 e20 f11 m20
삼십미리미터가량이에요	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f0 m0 f5 m2 e20 f11 m20 f11 m5 f11 m12
삼십미리미터가량입니다	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f0 m0 f5 m2 e20 f11 m20 e16 f2 m20 f3 m0
삼십미리미터에	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f11 m5
삼십미리미터에요	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f11 m5 f11 m12
삼십미리미터의	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f11 m19
삼십미리미터입니다	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f6 m20 f16 m4 f11 m20 e16 f2 m20 f3 m0
삼십미리에요	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f11 m5 f11 m12
삼십미리입니다	f9 m0 e15 f9 m20 e16 f6 m20 f5 m20 f11 m20 e16 f2 m20 f3 m0
삼십미터	f9 m0 e15 f9 m20 e16 f6 m20 f16 m4
삼십밀리미터입니다	f9 m0 e15 f9 m20 e16 f6 m20 e7 f5 m20 f6 m20 f16 m4 f11 m20 e16 f2 m20 f3 m0
삼십번이	f9 m0 e15 f9 m20 e16 f7 m4 e3 f11 m20
삼십분	f9 m0 e15 f9 m20 e16 f7 m13 e3
삼십분가량	f9 m0 e15 f9 m20 e16 f7 m13 e3 f0 m0 f5 m2 e20
삼십분까지	f9 m0 e15 f9 m20 e16 f7 m13 e3 f1 m0 f12 m20
삼십분내로	f9 m0 e15 f9 m20 e16 f7 m13 e3 f2 m1 f5 m8
삼십분동안	f9 m0 e15 f9 m20 e16 f7 m13 e3 f3 m8 e20 f11 m0 e3
삼십분뒤에	f9 m0 e15 f9 m20 e16 f7 m13 e3 f3 m16 f11 m5
삼십분만	f9 m0 e15 f9 m20 e16 f7 m13 e3 f6 m0 e3
삼십분에	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m5
삼십분으로	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m18 f5 m8
삼십분으루	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m18 f5 m13
삼십분이	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m20
삼십분이야	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m20 f11 m2
삼십분이에요	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m20 f11 m5 f11 m12
삼십분입니다	f9 m0 e15 f9 m20 e16 f7 m13 e3 f11 m20 e16 f2 m20 f3 m0
삼십분정도	f9 m0 e15 f9 m20 e16 f7 m13 e3 f12 m4 e20 f3 m8
삼십분후에	f9 m0 e15 f9 m20 e16 f7 m13 e3 f18 m13 f11 m5
삼십선에서	f9 m0 e15 f9 m20 e16 f9 m4 e3 f11 m5 f9 m4
삼십센치미터의	f9 m0 e15 f9 m20 e16 f9 m5 e3 f14 m20 f6 m20 f16 m4 f11 m19
삼십센티미터가	f9 m0 e15 f9 m20 e16 f9 m5 e3 f16 m20 f6 m20 f16 m4 f0 m0
삼십센티미터가량	f9 m0 e15 f9 m20 e16 f9 m5 e3 f16 m20 f6 m20 f16 m4 f0 m0 f5 m2 e20
삼십센티미터입니다	f9 m0 e15 f9 m20 e16 f9 m5 e3 f16 m20 f6 m20 f16 m4 f11 m20 e16 f2 m20 f3 m0
삼십억	f9 m0 e15 f9 m20 e16 f11 m4 e0
삼십에서	f9 m0 e15 f9 m20 e16 f11 m5 f9 m4
삼십원	f9 m0 e15 f9 m20 e16 f11 m14 e3
삼십원이에요	f9 m0 e15 f9 m20 e16 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼십원입니다	f9 m0 e15 f9 m20 e16 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼십으로	f9 m0 e15 f9 m20 e16 f11 m18 f5 m8
삼십일	f9 m0 e15 f9 m20 e16 f11 m20 e7
삼십일걸로	f9 m0 e15 f9 m20 e16 f11 m20 e7 f0 m4 e7 f5 m8
삼십일경이	f9 m0 e15 f9 m20 e16 f11 m20 e7 f0 m6 e20 f11 m20
삼십일까지	f9 m0 e15 f9 m20 e16 f11 m20 e7 f1 m0 f12 m20
삼십일까지에요	f9 m0 e15 f9 m20 e16 f11 m20 e7 f1 m0 f12 m20 f11 m5 f11 m12
삼십일까지입니다	f9 m0 e15 f9 m20 e16 f11 m20 e7 f1 m0 f12 m20 f11 m20 e16 f2 m20 f3 m0
삼십일날	f9 m0 e15 f9 m20 e16 f11 m20 e7 f2 m0 e7
삼십일로	f9 m0 e15 f9 m20 e16 f11 m20 e7 f5 m8
삼십일부터	f9 m0 e15 f9 m20 e16 f11 m20 e7 f7 m13 f16 m4
삼십일에	f9 m0 e15 f9 m20 e16 f11 m20 e7 f11 m5
삼십일이	f9 m0 e15 f9 m20 e16 f11 m20 e7 f11 m20
삼십일이야	f9 m0 e15 f9 m20 e16 f11 m20 e7 f11 m20 f11 m2
삼십일이에요	f9 m0 e15 f9 m20 e16 f11 m20 e7 f11 m20 f11 m5 f11 m12
삼십일입니다	f9 m0 e15 f9 m20 e16 f11 m20 e7 f11 m20 e16 f2 m20 f3 m0
삼십통	f9 m0 e15 f9 m20 e16 f16 m8 e20
삼십통의	f9 m0 e15 f9 m20 e16 f16 m8 e20 f11 m19
삼십퍼센트	f9 m0 e15 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18
삼십퍼센트가	f9 m0 e15 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f0 m0
삼십퍼센트대	f9 m0 e15 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f3 m1
삼십퍼센트에요	f9 m0 e15 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f11 m5 f11 m12
삼십퍼센트의	f9 m0 e15 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f11 m19
삼십퍼센트입니다	f9 m0 e15 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
삼십포인트	f9 m0 e15 f9 m20 e16 f17 m8 f11 m20 e3 f16 m18
삼십포인트에요	f9 m0 e15 f9 m20 e16 f17 m8 f11 m20 e3 f16 m18 f11 m5 f11 m12
삼십포인트입니다	f9 m0 e15 f9 m20 e16 f17 m8 f11 m20 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
삼아	f9 m0 e15 f11 m0
삼양금속으로	f9 m0 e15 f11 m2 e20 f0 m18 e15 f9 m8 e0 f11 m18 f5 m8
삼억	f9 m0 e15 f11 m4 e0
삼억목표입니다	f9 m0 e15 f11 m4 e0 f6 m8 e0 f17 m12 f11 m20 e16 f2 m20 f3 m0
삼억미만	f9 m0 e15 f11 m4 e0 f6 m20 f6 m0 e3
삼억미만에	f9 m0 e15 f11 m4 e0 f6 m20 f6 m0 e3 f11 m5
삼억원	f9 m0 e15 f11 m4 e0 f11 m14 e3
삼억원미만	f9 m0 e15 f11 m4 e0 f11 m14 e3 f6 m20 f6 m0 e3
삼억원미만까지	f9 m0 e15 f11 m4 e0 f11 m14 e3 f6 m20 f6 m0 e3 f1 m0 f12 m20
삼억원미만에	f9 m0 e15 f11 m4 e0 f11 m14 e3 f6 m20 f6 m0 e3 f11 m5
삼억원미만의	f9 m0 e15 f11 m4 e0 f11 m14 e3 f6 m20 f6 m0 e3 f11 m19
삼억원미만일	f9 m0 e15 f11 m4 e0 f11 m14 e3 f6 m20 f6 m0 e3 f11 m20 e7
삼엔이에요	f9 m0 e15 f11 m5 e3 f11 m20 f11 m5 f11 m12
삼엔입니다	f9 m0 e15 f11 m5 e3 f11 m20 e16 f2 m20 f3 m0
삼영	f9 m0 e15 f11 m6 e20
삼영에	f9 m0 e15 f11 m6 e20 f11 m5
삼오교	f9 m0 e15 f11 m8 f0 m12
삼오식당	f9 m0 e15 f11 m8 f9 m20 e0 f3 m0 e20
삼원	f9 m0 e15 f11 m14 e3
삼원이	f9 m0 e15 f11 m14 e3 f11 m20
삼원이었어요	f9 m0 e15 f11 m14 e3 f11 m20 f11 m4 e19 f11 m4 f11 m12
삼원이에요	f9 m0 e15 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼원입니다	f9 m0 e15 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼월	f9 m0 e15 f11 m14 e7
삼월이에요	f9 m0 e15 f11 m14 e7 f11 m20 f11 m5 f11 m12
삼위	f9 m0 e15 f11 m16
삼위가	f9 m0 e15 f11 m16 f0 m0
삼위는	f9 m0 e15 f11 m16 f2 m18 e3
삼위로	f9 m0 e15 f11 m16 f5 m8
삼위를	f9 m0 e15 f11 m16 f5 m18 e7
삼위에요	f9 m0 e15 f11 m16 f11 m5 f11 m12
삼위와	f9 m0 e15 f11 m16 f11 m9
삼위인	f9 m0 e15 f11 m16 f11 m20 e3
삼위입니다	f9 m0 e15 f11 m16 f11 m20 e16 f2 m20 f3 m0
삼위팀이	f9 m0 e15 f11 m16 f16 m20 e15 f11 m20
삼으로	f9 m0 e15 f11 m18 f5 m8
삼을	f9 m0 e15 f11 m18 e7
삼이	f9 m0 e15 f11 m20
삼이거든	f9 m0 e15 f11 m20 f0 m4 f3 m18 e3
삼이다	f9 m0 e15 f11 m20 f3 m0
삼이야	f9 m0 e15 f11 m20 f11 m2
삼이에요	f9 m0 e15 f11 m20 f11 m5 f11 m12
삼익전자	f9 m0 e15 f11 m20 e0 f12 m4 e3 f12 m0
삼인	f9 m0 e15 f11 m20 e3
삼인의	f9 m0 e15 f11 m20 e3 f11 m19
삼일	f9 m0 e15 f11 m20 e7
삼일간	f9 m0 e15 f11 m20 e7 f0 m0 e3
삼일간을	f9 m0 e15 f11 m20 e7 f0 m0 e3 f11 m18 e7
삼일간이에요	f9 m0 e15 f11 m20 e7 f0 m0 e3 f11 m20 f11 m5 f11 m12
삼일간입니다	f9 m0 e15 f11 m20 e7 f0 m0 e3 f11 m20 e16 f2 m20 f3 m0
삼일까지	f9 m0 e15 f11 m20 e7 f1 m0 f12 m20
삼일까지거든	f9 m0 e15 f11 m20 e7 f1 m0 f12 m20 f0 m4 f3 m18 e3
삼일까지야	f9 m0 e15 f11 m20 e7 f1 m0 f12 m20 f11 m2
삼일날	f9 m0 e15 f11 m20 e7 f2 m0 e7
삼일날날	f9 m0 e15 f11 m20 e7 f2 m0 e7 f2 m0 e7
삼일동안	f9 m0 e15 f11 m20 e7 f3 m8 e20 f11 m0 e3
삼일동안은	f9 m0 e15 f11 m20 e7 f3 m8 e20 f11 m0 e3 f11 m18 e3
삼일동안이었습니다	f9 m0 e15 f11 m20 e7 f3 m8 e20 f11 m0 e3 f11 m20 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
삼일동안이에요	f9 m0 e15 f11 m20 e7 f3 m8 e20 f11 m0 e3 f11 m20 f11 m5 f11 m12
삼일동안입니다	f9 m0 e15 f11 m20 e7 f3 m8 e20 f11 m0 e3 f11 m20 e16 f2 m20 f3 m0
삼일뒤	f9 m0 e15 f11 m20 e7 f3 m16
삼일뒤가	f9 m0 e15 f11 m20 e7 f3 m16 f0 m0
삼일뒤로	f9 m0 e15 f11 m20 e7 f3 m16 f5 m8
삼일로	f9 m0 e15 f11 m20 e7 f5 m8
삼일병원입니다	f9 m0 e15 f11 m20 e7 f7 m6 e20 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼일부터	f9 m0 e15 f11 m20 e7 f7 m13 f16 m4
삼일부터에요	f9 m0 e15 f11 m20 e7 f7 m13 f16 m4 f11 m5 f11 m12
삼일부터입니다	f9 m0 e15 f11 m20 e7 f7 m13 f16 m4 f11 m20 e16 f2 m20 f3 m0
삼일에	f9 m0 e15 f11 m20 e7 f11 m5
삼일이	f9 m0 e15 f11 m20 e7 f11 m20
삼일이었습니다	f9 m0 e15 f11 m20 e7 f11 m20 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
삼일이었어요	f9 m0 e15 f11 m20 e7 f11 m20 f11 m4 e19 f11 m4 f11 m12
삼일이에요	f9 m0 e15 f11 m20 e7 f11 m20 f11 m5 f11 m12
삼일일까지에요	f9 m0 e15 f11 m20 e7 f11 m20 e7 f1 m0 f12 m20 f11 m5 f11 m12
삼일일로	f9 m0 e15 f11 m20 e7 f11 m20 e7 f5 m8
삼일입니다	f9 m0 e15 f11 m20 e7 f11 m20 e16 f2 m20 f3 m0
삼일전	f9 m0 e15 f11 m20 e7 f12 m4 e3
삼일째에요	f9 m0 e15 f11 m20 e7 f13 m1 f11 m5 f11 m12
삼일쯤이	f9 m0 e15 f11 m20 e7 f13 m18 e15 f11 m20
삼일학원이	f9 m0 e15 f11 m20 e7 f18 m0 e0 f11 m14 e3 f11 m20
삼일후가	f9 m0 e15 f11 m20 e7 f18 m13 f0 m0
삼일후까지로	f9 m0 e15 f11 m20 e7 f18 m13 f1 m0 f12 m20 f5 m8
삼일후로	f9 m0 e15 f11 m20 e7 f18 m13 f5 m8
삼입니다	f9 m0 e15 f11 m20 e16 f2 m20 f3 m0
삼재	f9 m0 e15 f12 m1
삼점	f9 m0 e15 f12 m4 e15
삼종목이에요	f9 m0 e15 f12 m8 e20 f6 m8 e0 f11 m20 f11 m5 f11 m12
삼종목입니다	f9 m0 e15 f12 m8 e20 f6 m8 e0 f11 m20 e16 f2 m20 f3 m0
삼주	f9 m0 e15 f12 m13
삼주만	f9 m0 e15 f12 m13 f6 m0 e3
삼주만에	f9 m0 e15 f12 m13 f6 m0 e3 f11 m5
삼주일	f9 m0 e15 f12 m13 f11 m20 e7
삼진	f9 m0 e15 f12 m20 e3
삼진을	f9 m0 e15 f12 m20 e3 f11 m18 e7
삼진입니다	f9 m0 e15 f12 m20 e3 f11 m20 e16 f2 m20 f3 m0
삼쩜	f9 m0 e15 f13 m4 e15
삼차	f9 m0 e15 f14 m0
삼차로	f9 m0 e15 f14 m0 f5 m8
삼척	f9 m0 e15 f14 m4 e0
삼천	f9 m0 e15 f14 m4 e3
삼천만명	f9 m0 e15 f14 m4 e3 f6 m0 e3 f6 m6 e20
삼천만명을	f9 m0 e15 f14 m4 e3 f6 m0 e3 f6 m6 e20 f11 m18 e7
삼천만원미만	f9 m0 e15 f14 m4 e3 f6 m0 e3 f11 m14 e3 f6 m20 f6 m0 e3
삼천만원미만원	f9 m0 e15 f14 m4 e3 f6 m0 e3 f11 m14 e3 f6 m20 f6 m0 e3 f11 m14 e3
삼천만원이에요	f9 m0 e15 f14 m4 e3 f6 m0 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼천명	f9 m0 e15 f14 m4 e3 f6 m6 e20
삼천원	f9 m0 e15 f14 m4 e3 f11 m14 e3
삼천원을	f9 m0 e15 f14 m4 e3 f11 m14 e3 f11 m18 e7
삼천원이	f9 m0 e15 f14 m4 e3 f11 m14 e3 f11 m20
삼천원이에요	f9 m0 e15 f14 m4 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼천원입니다	f9 m0 e15 f14 m4 e3 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼천이에요	f9 m0 e15 f14 m4 e3 f11 m20 f11 m5 f11 m12
삼청동	f9 m0 e15 f14 m4 e20 f3 m8 e20
삼청동까지	f9 m0 e15 f14 m4 e20 f3 m8 e20 f1 m0 f12 m20
삼청동에	f9 m0 e15 f14 m4 e20 f3 m8 e20 f11 m5
삼청동으로	f9 m0 e15 f14 m4 e20 f3 m8 e20 f11 m18 f5 m8
삼청동인데	f9 m0 e15 f14 m4 e20 f3 m8 e20 f11 m20 e3 f3 m5
삼초입니다	f9 m0 e15 f14 m8 f11 m20 e16 f2 m20 f3 m0
삼촌	f9 m0 e15 f14 m8 e3
삼촌과	f9 m0 e15 f14 m8 e3 f0 m9
삼촌과의	f9 m0 e15 f14 m8 e3 f0 m9 f11 m19
삼촌네	f9 m0 e15 f14 m8 e3 f2 m5
삼촌네로	f9 m0 e15 f14 m8 e3 f2 m5 f5 m8
삼촌댁에	f9 m0 e15 f14 m8 e3 f3 m1 e0 f11 m5
삼촌식당에서	f9 m0 e15 f14 m8 e3 f9 m20 e0 f3 m0 e20 f11 m5 f9 m4
삼촌에게	f9 m0 e15 f14 m8 e3 f11 m5 f0 m5
삼촌에게도	f9 m0 e15 f14 m8 e3 f11 m5 f0 m5 f3 m8
삼촌을	f9 m0 e15 f14 m8 e3 f11 m18 e7
삼촌의	f9 m0 e15 f14 m8 e3 f11 m19
삼촌이	f9 m0 e15 f14 m8 e3 f11 m20
삼촌이랑	f9 m0 e15 f14 m8 e3 f11 m20 f5 m0 e20
삼촌이에요	f9 m0 e15 f14 m8 e3 f11 m20 f11 m5 f11 m12
삼촌집	f9 m0 e15 f14 m8 e3 f12 m20 e16
삼촌하고	f9 m0 e15 f14 m8 e3 f18 m0 f0 m8
삼촌한테	f9 m0 e15 f14 m8 e3 f18 m0 e3 f16 m5
삼촌한테도	f9 m0 e15 f14 m8 e3 f18 m0 e3 f16 m5 f3 m8
삼켰다	f9 m0 e15 f15 m6 e19 f3 m0
삼키로미터	f9 m0 e15 f15 m20 f5 m8 f6 m20 f16 m4
삼키로미터로	f9 m0 e15 f15 m20 f5 m8 f6 m20 f16 m4 f5 m8
삼키로미터부근	f9 m0 e15 f15 m20 f5 m8 f6 m20 f16 m4 f7 m13 f0 m18 e3
삼키로미터부분	f9 m0 e15 f15 m20 f5 m8 f6 m20 f16 m4 f7 m13 f7 m13 e3
삼키로미터부분지체입니다	f9 m0 e15 f15 m20 f5 m8 f6 m20 f16 m4 f7 m13 f7 m13 e3 f12 m20 f14 m5 f11 m20 e16 f2 m20 f3 m0
삼킬로미터	f9 m0 e15 f15 m20 e7 f5 m8 f6 m20 f16 m4
삼터널	f9 m0 e15 f16 m4 f2 m4 e7
삼통	f9 m0 e15 f16 m8 e20
삼퍼센트	f9 m0 e15 f17 m4 f9 m5 e3 f16 m18
삼퍼센트에요	f9 m0 e15 f17 m4 f9 m5 e3 f16 m18 f11 m5 f11 m12
삼퍼센트입니다	f9 m0 e15 f17 m4 f9 m5 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
삼퍼센트하락이에요	f9 m0 e15 f17 m4 f9 m5 e3 f16 m18 f18 m0 f5 m0 e0 f11 m20 f11 m5 f11 m12
삼퍼센트하락입니다	f9 m0 e15 f17 m4 f9 m5 e3 f16 m18 f18 m0 f5 m0 e0 f11 m20 e16 f2 m20 f3 m0
삼포인트	f9 m0 e15 f17 m8 f11 m20 e3 f16 m18
삼포인트가	f9 m0 e15 f17 m8 f11 m20 e3 f16 m18 f0 m0
삼포인트에요	f9 m0 e15 f17 m8 f11 m20 e3 f16 m18 f11 m5 f11 m12
삼포인트입니다	f9 m0 e15 f17 m8 f11 m20 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
삼포인틉니다	f9 m0 e15 f17 m8 f11 m20 e3 f16 m18 e16 f2 m20 f3 m0
삼풍백화점에서	f9 m0 e15 f17 m13 e20 f7 m1 e0 f18 m9 f12 m4 e15 f11 m5 f9 m4
삼프로	f9 m0 e15 f17 m18 f5 m8
삼호반점입니다	f9 m0 e15 f18 m8 f7 m0 e3 f12 m4 e15 f11 m20 e16 f2 m20 f3 m0
삼호선	f9 m0 e15 f18 m8 f9 m4 e3
삼호선으로	f9 m0 e15 f18 m8 f9 m4 e3 f11 m18 f5 m8
삼호선을	f9 m0 e15 f18 m8 f9 m4 e3 f11 m18 e7
삼호야	f9 m0 e15 f18 m8 f11 m2
삼회로	f9 m0 e15 f18 m11 f5 m8
삽백	f9 m0 e16 f7 m1 e0
삽십	f9 m0 e16 f9 m20 e16
삽십만원이에요	f9 m0 e16 f9 m20 e16 f6 m0 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
삽입곡	f9 m0 e16 f11 m20 e16 f0 m8 e0
삿갓은	f9 m0 e18 f0 m0 e18 f11 m18 e3
샀는데	f9 m0 e19 f2 m18 e3 f3 m5
샀다고	f9 m0 e19 f3 m0 f0 m8
샀다의	f9 m0 e19 f3 m0 f11 m19
샀다입니다	f9 m0 e19 f3 m0 f11 m20 e16 f2 m20 f3 m0
샀으니까	f9 m0 e19 f11 m18 f2 m20 f1 m0
상	f9 m0 e20
상가	f9 m0 e20 f0 m0
상가가	f9 m0 e20 f0 m0 f0 m0
상거래	f9 m0 e20 f0 m4 f5 m1
상고의	f9 m0 e20 f0 m8 f11 m19
상곡분기점	f9 m0 e20 f0 m8 e0 f7 m13 e3 f0 m20 f12 m4 e15
상관	f9 m0 e20 f0 m9 e3
상관없이	f9 m0 e20 f0 m9 e3 f11 m4 e17 f11 m20
상관이	f9 m0 e20 f0 m9 e3 f11 m20
상국이	f9 m0 e20 f0 m13 e0 f11 m20
상당수	f9 m0 e20 f3 m0 e20 f9 m13
상당한	f9 m0 e20 f3 m0 e20 f18 m0 e3
상당히	f9 m0 e20 f3 m0 e20 f18 m20
상대	f9 m0 e20 f3 m1
상대가	f9 m0 e20 f3 m1 f0 m0
상대는	f9 m0 e20 f3 m1 f2 m18 e3
상대로	f9 m0 e20 f3 m1 f5 m8
상대를	f9 m0 e20 f3 m1 f5 m18 e7
상대방에게	f9 m0 e20 f3 m1 f7 m0 e20 f11 m5 f0 m5
상대방을	f9 m0 e20 f3 m1 f7 m0 e20 f11 m18 e7
상대방의	f9 m0 e20 f3 m1 f7 m0 e20 f11 m19
상대의	f9 m0 e20 f3 m1 f11 m19
상대적으로	f9 m0 e20 f3 m1 f12 m4 e0 f11 m18 f5 m8
상덕이에게	f9 m0 e20 f3 m4 e0 f11 m20 f11 m5 f0 m5
상두	f9 m0 e20 f3 m13
